Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001761,Male,No,0,Graduate,Yes,5920,0,196.68307109744993,360.0,1.0,Rural,Y
LP002141,Male,Yes,3+,Graduate,No,2749,2217,90.82259012884596,360.0,1.0,Rural,Y
LP001732,Male,Yes,2,Graduate,,5395,0,68.16305827181894,360.0,0.0,Semiurban,N
LP002100,Male,No,,Graduate,No,2980,0,69.1067520059018,360.0,1.0,Urban,Y
LP002940,Male,No,0,Not Graduate,No,4013,0,107.13688983373234,360.0,1.0,Rural,Y
LP002959,Female,Yes,1,Graduate,No,10804,0,496.75706219433476,360.0,1.0,Semiurban,Y
LP001669,Female,No,0,Not Graduate,No,1778,2257,122.70490024691888,,1.0,Urban,Y
LP002777,Male,Yes,0,Graduate,No,2517,1995,105.89831032726839,360.0,1.0,Rural,Y
LP002459,Male,Yes,0,Graduate,No,4682,0,118.7032425586057,360.0,1.0,Urban,Y
LP002741,Female,Yes,1,Graduate,No,4966,3106,138.9276990024705,180.0,1.0,Semiurban,Y
LP002211,Male,Yes,0,Graduate,No,5027,929,120.22711843367914,180.0,1.0,Urban,Y
LP002643,Male,Yes,2,Graduate,No,3219,2218,148.87685186904892,360.0,1.0,Urban,Y
LP001319,Male,Yes,2,Not Graduate,No,3391,1755,85.50876620077929,360.0,1.0,Urban,Y
LP002116,Female,No,0,Graduate,No,2392,0,45.69830603030946,360.0,1.0,Rural,N
LP002314,Female,No,0,Not Graduate,No,2160,0,69.47164513127504,360.0,1.0,Rural,Y
LP002043,Female,No,1,Graduate,No,3707,0,111.03585542500664,360.0,,Semiurban,Y
LP002098,Male,No,0,Graduate,No,3196,0,102.02129991017038,360.0,1.0,Semiurban,Y
LP002234,Male,No,0,Graduate,Yes,7493,0,129.1257560262613,360.0,1.0,Urban,Y
LP002219,Male,Yes,3+,Graduate,No,9285,5206,125.17431790648791,360.0,1.0,Rural,N
LP002619,Male,Yes,0,Not Graduate,No,3854,1582,119.68996583083802,300.0,1.0,Semiurban,Y
LP001109,Male,Yes,0,Graduate,No,1711,1421,101.33748958089907,,0.0,Urban,N
LP001977,Male,Yes,1,Graduate,No,1600,1670,91.694586783066,360.0,1.0,Urban,Y
LP002043,Female,No,1,Graduate,No,3863,0,109.63004180258247,360.0,,Semiurban,Y
LP002418,Male,No,3+,Not Graduate,No,4658,1946,146.82753603631178,360.0,1.0,Semiurban,Y
LP001713,Male,Yes,1,Graduate,Yes,7940,0,236.90411867662962,360.0,1.0,Urban,Y
LP001811,Male,Yes,0,Not Graduate,No,3349,4690,120.25177986417448,360.0,1.0,Semiurban,Y
LP001699,Male,No,0,Graduate,No,2314,0,59.63576110593078,360.0,1.0,Urban,Y
LP002467,Male,Yes,0,Graduate,No,3536,2399,169.63280160839702,360.0,1.0,Urban,N
LP002139,Male,Yes,0,Graduate,No,8852,0,226.2637753614647,360.0,1.0,Semiurban,Y
LP001907,Male,Yes,0,Graduate,No,14420,0,438.8427446641835,360.0,1.0,Semiurban,Y
LP002958,Male,No,0,Graduate,No,3621,4371,173.79696214852888,360.0,1.0,Rural,Y
LP002626,Male,Yes,0,Graduate,Yes,2659,2772,183.3712069131759,360.0,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,No,3262,8418,204.52368914230132,360.0,1.0,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2705,3160,115.64693471152515,360.0,0.0,Urban,N
LP001978,Male,No,0,Graduate,No,4390,2401,142.47558968188767,360.0,1.0,Rural,Y
LP002281,Male,Yes,0,Graduate,No,3154,1453,90.11816541266836,360.0,1.0,Urban,Y
